ParName   Value   Gradient
mean_log_rec      13.7591 -5.46284e-006
log_Rzero       13.818 1.98045e-006
rec_dev(-10)   -0.0700852 3.39202e-006
rec_dev(-9)   -0.0186415 1.87935e-005
rec_dev(-8)   -0.0433896 3.44852e-005
rec_dev(-7)     0.197659 3.00966e-005
rec_dev(-6)   -0.0801438 1.39142e-005
rec_dev(-5)    0.0777136 7.99765e-006
rec_dev(-4)   -0.0532887 1.47641e-005
rec_dev(-3)   -0.0212583 1.53246e-005
rec_dev(-2)    0.0291373 1.56295e-005
rec_dev(-1)    0.0120497 1.56177e-005
rec_dev(0)    0.0538997 1.82403e-005
rec_dev(1)    0.0305875   1.901e-005
rec_dev(2)     0.266171 1.63229e-005
rec_dev(3)    0.0465911 1.23992e-005
rec_dev(4)    -0.184045 1.57604e-005
rec_dev(5)     0.316901 1.55956e-005
rec_dev(6)     0.312129 2.32143e-005
rec_dev(7)    0.0655967 2.03675e-005
rec_dev(8)     0.136784 3.03718e-005
rec_dev(9)  -0.00452594 1.07581e-005
rec_dev(10)    0.0867114 2.46879e-005
rec_dev(11)     0.136984 2.44047e-005
rec_dev(12)   -0.0756365 2.26321e-005
rec_dev(13)    -0.107146  1.0488e-005
rec_dev(14)   -0.0517631 1.00436e-005
rec_dev(15)   -0.0448638 -3.54598e-006
rec_dev(16)    0.0693111 -5.1941e-006
rec_dev(17)    0.0228725 -1.21555e-005
rec_dev(18)    -0.290055 -1.07892e-005
rec_dev(19)    -0.155811 -2.24916e-005
rec_dev(20)    -0.218382 -1.4643e-005
rec_dev(21)     0.106329 -2.68134e-005
rec_dev(22)    0.0118216 -3.71019e-005
rec_dev(23)     -0.33406 -4.72331e-005
rec_dev(24)    -0.391778 -4.23968e-005
rec_dev(25)    -0.129973 -7.4658e-005
rec_dev(26)    -0.495965 -5.12211e-005
rec_dev(27)    -0.270261 -7.55053e-005
rec_dev(28)   -0.0952623 -5.44048e-005
rec_dev(29)   -0.0260892 -4.65293e-005
rec_dev(30)    -0.161165 -2.42795e-005
fmort(1,1)   0.00907926  0.000120374
fmort(1,2)    0.0270212 -2.86553e-005
fmort(1,3)    0.0448661 3.65715e-005
fmort(1,4)    0.0613468 -5.06718e-006
fmort(1,5)    0.0484482 4.71736e-005
fmort(1,6)    0.0885451 2.21161e-006
fmort(1,7)    0.0897462 -2.81006e-005
fmort(1,8)     0.189184 -1.38893e-005
fmort(1,9)     0.110558 -1.61741e-005
fmort(1,10)     0.134553 -1.31846e-005
fmort(1,11)     0.153123  1.5485e-006
fmort(1,12)       0.1647 -1.35887e-006
fmort(1,13)     0.119195 2.46563e-005
fmort(1,14)     0.172259 1.00678e-005
fmort(1,15)      0.18625 9.58974e-006
fmort(1,16)     0.167983 1.25766e-005
fmort(1,17)     0.324927 7.82713e-006
fmort(1,18)     0.268573 5.18069e-006
fmort(1,19)     0.267319 -2.55229e-006
fmort(1,20)     0.265816 -4.95459e-006
fmort(1,21)     0.364003 1.15837e-006
fmort(1,22)     0.259565 -2.75544e-006
fmort(1,23)     0.419698 4.89115e-006
fmort(1,24)      0.34254 9.83165e-006
fmort(1,25)     0.333204 1.50412e-005
fmort(1,26)     0.305335 9.33736e-006
fmort(1,27)     0.300453 7.37801e-006
fmort(1,28)     0.414534 8.76465e-006
fmort(1,29)     0.308879 -1.45125e-005
fmort(1,30)     0.453709 -3.63966e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8873 1.51271e-006
repl_F     0.181322 1.78925e-006
