ParName   Value   Gradient
SR_parm[1]      6.89814 -3.33395e-005
recdev_early(-11)   -0.0177626 5.15164e-006
recdev_early(-10)  -0.00770317 3.20129e-006
recdev_early(-9)    0.0335831 -3.4991e-005
recdev_early(-8)    -0.117772 -1.77944e-005
recdev_early(-7)   -0.0534456 -1.88715e-005
recdev_early(-6)   -0.0404198 -6.86074e-006
recdev_early(-5)  -0.00997573 -8.15789e-006
recdev_early(-4)    0.0419533 -1.76647e-005
recdev_early(-3)    0.0553497 -2.51429e-005
recdev_early(-2)   -0.0682752 -2.2591e-005
recdev_early(-1)   -0.0313528 -2.28818e-005
recdev_early(0)    -0.096766 -2.40277e-005
recdev1(1)     0.145473 -3.82972e-005
recdev1(2)   -0.0126793 -3.32156e-005
recdev1(3)    -0.195317 -3.27525e-005
recdev1(4)      0.27002 -4.28197e-005
recdev1(5)     0.218493 -4.55217e-005
recdev1(6)   -0.0410246 -3.63342e-005
recdev1(7)    0.0677946 -3.57582e-005
recdev1(8)    0.0389908 -3.68199e-005
recdev1(9)    0.0480959 -3.48773e-005
recdev1(10)     0.145246 -3.32966e-005
recdev1(11)   -0.0377608 -2.52384e-005
recdev1(12)   -0.0171262 -2.50816e-005
recdev1(13)    0.0562467 -2.58982e-005
recdev1(14)    -0.112631 -2.44291e-005
recdev1(15)     0.211562 -3.35259e-005
recdev1(16)     0.126309 -4.09913e-005
recdev1(17)    -0.106017 -3.43278e-005
recdev1(18)    -0.159821 -3.22947e-005
recdev1(19)    -0.175997 -1.82409e-005
recdev1(20)     0.031724 -8.8352e-006
recdev1(21)    0.0517083 2.01064e-005
recdev1(22)    -0.172927  4.3583e-005
recdev1(23)    -0.192724 7.65985e-005
recdev1(24)   0.00839641  0.000127821
recdev1(25)    -0.247867  0.000101487
recdev1(26)   -0.0914658  0.000113295
recdev1(27)     0.129106  0.000102991
recdev1(28)     0.158447 5.07059e-005
recdev1(29)    -0.136109 5.02164e-006
recdev1(30)  -0.00814662 -3.68514e-006
F_rate[1]   0.00907578 8.61482e-005
F_rate[2]    0.0268228 -0.000137039
F_rate[3]    0.0449315  0.000110085
F_rate[4]    0.0620372 -4.93012e-005
F_rate[5]    0.0493392 -2.95645e-005
F_rate[6]    0.0886497 2.90856e-005
F_rate[7]    0.0917807 -1.76224e-005
F_rate[8]     0.193093 1.54882e-005
F_rate[9]     0.113794 5.15792e-005
F_rate[10]     0.140018 -4.84233e-005
F_rate[11]     0.157517 -4.83625e-006
F_rate[12]     0.169865 -6.48125e-005
F_rate[13]     0.123317 7.77185e-005
F_rate[14]     0.176499 -9.26893e-005
F_rate[15]     0.186655 -2.9853e-005
F_rate[16]     0.166806 7.46414e-005
F_rate[17]     0.325657 2.28255e-005
F_rate[18]     0.265905 -5.97045e-005
F_rate[19]     0.260282 2.16567e-005
F_rate[20]     0.256296 -3.89127e-006
F_rate[21]     0.350818 -2.91476e-005
F_rate[22]     0.254298 -2.56162e-005
F_rate[23]     0.425698 -5.6977e-005
F_rate[24]     0.352909 -1.01911e-005
F_rate[25]     0.359281 -4.23528e-005
F_rate[26]     0.329113 -0.000107844
F_rate[27]     0.325576 -8.3077e-006
F_rate[28]     0.461517 5.21991e-005
F_rate[29]     0.354995  0.000133965
F_rate[30]     0.546389 -1.46748e-005
Q_parm[1]     -7.93459 -5.58093e-007
