ParName   Value   Gradient
mean_log_rec      13.6888 4.13607e-005
log_Rzero      13.7819 -1.9362e-006
rec_dev(-10)    -0.118791 4.36895e-005
rec_dev(-9)   -0.0757992 -1.94221e-005
rec_dev(-8)    0.0502194 1.39028e-006
rec_dev(-7)    0.0280624 -6.47531e-005
rec_dev(-6)     0.068262 -7.33129e-006
rec_dev(-5)   -0.0526333   0.00012379
rec_dev(-4)    0.0455572  0.000114993
rec_dev(-3)   -0.0510558 1.26295e-005
rec_dev(-2)  -0.00819695 7.84598e-006
rec_dev(-1)    0.0693482  0.000137633
rec_dev(0)  -0.00990107 6.19579e-005
rec_dev(1)    0.0828786 5.62119e-005
rec_dev(2)     0.252451 3.10135e-005
rec_dev(3)    0.0538696 6.12777e-005
rec_dev(4)    -0.134119 8.66383e-005
rec_dev(5)     0.404047 5.81447e-005
rec_dev(6)     0.421523 3.88572e-005
rec_dev(7)    0.0481896 5.44717e-005
rec_dev(8)     0.238703 -4.34399e-006
rec_dev(9)     0.115502 6.73237e-005
rec_dev(10)      0.11461 2.21595e-005
rec_dev(11)     0.126993 -1.25992e-006
rec_dev(12)    -0.030262 -8.90696e-005
rec_dev(13)    0.0980469 -7.7888e-005
rec_dev(14)     0.160653 -7.18476e-005
rec_dev(15)    -0.067397 4.65334e-005
rec_dev(16)     0.210376 -3.87935e-005
rec_dev(17)     0.141195 6.72385e-005
rec_dev(18)    -0.181291 -4.54431e-005
rec_dev(19)    -0.154318 2.05727e-005
rec_dev(20)    -0.325052  0.000122006
rec_dev(21)     0.104124 8.70863e-006
rec_dev(22)    0.0529875   0.00011224
rec_dev(23)    -0.242913  0.000188192
rec_dev(24)    -0.291225 -0.000282651
rec_dev(25)    -0.183533 2.20068e-005
rec_dev(26)    -0.387328 -9.78202e-005
rec_dev(27)    -0.321212 5.58391e-005
rec_dev(28)    -0.185433 9.57736e-005
rec_dev(29)    -0.113987 4.95287e-005
rec_dev(30)     -0.35747 8.94088e-006
fmort(1,1)   0.00975376 -3.15152e-005
fmort(1,2)    0.0289182 4.06956e-006
fmort(1,3)    0.0481307 1.11442e-005
fmort(1,4)    0.0658113 2.76459e-005
fmort(1,5)    0.0525847 6.00688e-005
fmort(1,6)    0.0953569 4.75278e-005
fmort(1,7)    0.0967745 4.53295e-005
fmort(1,8)     0.201611 1.09338e-005
fmort(1,9)     0.119052 3.87815e-005
fmort(1,10)     0.143669  2.9798e-005
fmort(1,11)      0.16331 1.68947e-005
fmort(1,12)     0.175443 1.51712e-005
fmort(1,13)     0.126606 3.07702e-005
fmort(1,14)     0.183197 6.36264e-006
fmort(1,15)     0.194299 -1.1167e-005
fmort(1,16)     0.172613 -9.29423e-006
fmort(1,17)     0.337431 -2.65231e-005
fmort(1,18)     0.275538 -1.10267e-005
fmort(1,19)     0.270048 -4.1749e-006
fmort(1,20)     0.266666 -1.17231e-005
fmort(1,21)     0.373877 -2.17143e-005
fmort(1,22)     0.272497 9.05532e-007
fmort(1,23)     0.448687  1.8534e-006
fmort(1,24)     0.373351 5.81759e-006
fmort(1,25)     0.372833 3.67241e-005
fmort(1,26)     0.342069 1.00112e-006
fmort(1,27)     0.341996 1.40658e-006
fmort(1,28)     0.490826 -8.60727e-006
fmort(1,29)     0.381003 -3.38989e-005
fmort(1,30)     0.607353 2.00964e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8111  -7.079e-007
repl_F     0.093996 -1.47246e-006
