ParName   Value   Gradient
SR_parm[1]      6.91465 -0.000300229
recdev_early(-11)     -0.15361 -0.000166863
recdev_early(-10)   -0.0907942 -5.8949e-005
recdev_early(-9)    0.0475625 -6.75858e-005
recdev_early(-8)  -0.00894039 -6.38811e-005
recdev_early(-7)    -0.125954 -7.4825e-005
recdev_early(-6) -2.73681e-005 -6.92398e-005
recdev_early(-5)    0.0216259 -8.48692e-005
recdev_early(-4)    -0.198554 -7.89474e-005
recdev_early(-3)   -0.0552528 -9.20849e-005
recdev_early(-2)    0.0715779 -9.61502e-005
recdev_early(-1)    -0.022079 -7.49356e-005
recdev_early(0)  -0.00560509 -7.07832e-005
recdev1(1)     0.209629 -5.98708e-005
recdev1(2)   -0.0715144 -3.07104e-005
recdev1(3)    -0.137298 -2.26899e-005
recdev1(4)     0.304817 -3.18042e-005
recdev1(5)      0.17863 -2.03854e-005
recdev1(6)   -0.0291239 -5.25764e-006
recdev1(7)     0.143014 -6.34372e-006
recdev1(8)   -0.0617447 4.95177e-007
recdev1(9)     0.131712 -3.35024e-006
recdev1(10)    0.0547219 -3.18024e-006
recdev1(11)   -0.0913573 9.75407e-007
recdev1(12)    -0.115136 -2.07736e-006
recdev1(13)    0.0746976 -2.08816e-005
recdev1(14)  -0.00017029 -2.29741e-005
recdev1(15)      0.14816 -3.44103e-005
recdev1(16)    0.0690318 -2.07957e-005
recdev1(17)    -0.287023 8.79563e-006
recdev1(18)   -0.0960532 1.82838e-005
recdev1(19)    -0.319234  3.5193e-005
recdev1(20)     0.133511 5.72606e-005
recdev1(21)    0.0815866 6.92614e-005
recdev1(22)    -0.242409 5.69613e-005
recdev1(23)    -0.176582 5.33127e-005
recdev1(24)    0.0346128  3.2898e-005
recdev1(25)    -0.295569 4.11766e-006
recdev1(26)   -0.0567901 -2.32698e-005
recdev1(27)    0.0808673 -3.39685e-005
recdev1(28)     0.309917 -2.31001e-005
recdev1(29)    0.0439053 1.07589e-005
recdev1(30)   -0.0188079 1.62098e-005
F_rate[1]   0.00942839 -0.000424614
F_rate[2]    0.0274305 -0.000310335
F_rate[3]    0.0453949  0.000110331
F_rate[4]    0.0616464 -0.000155266
F_rate[5]    0.0495279 2.63698e-005
F_rate[6]    0.0884972 -2.21109e-005
F_rate[7]    0.0901749 -6.22757e-005
F_rate[8]     0.189348 -1.07683e-005
F_rate[9]     0.110573 -7.10056e-005
F_rate[10]     0.134262  2.5387e-005
F_rate[11]     0.153518 -4.63242e-005
F_rate[12]     0.163372  8.3624e-005
F_rate[13]       0.1192 -6.2777e-005
F_rate[14]     0.173549 -4.49758e-005
F_rate[15]     0.183139 4.50444e-005
F_rate[16]     0.164826 1.44309e-006
F_rate[17]     0.319605  0.000119975
F_rate[18]     0.256939 -1.05402e-005
F_rate[19]     0.257522 7.95848e-005
F_rate[20]     0.254502 -0.000319199
F_rate[21]     0.347631 4.44333e-005
F_rate[22]     0.252536 2.23574e-005
F_rate[23]     0.427996 -1.11709e-005
F_rate[24]     0.350974 -5.47595e-005
F_rate[25]     0.348253   0.00027142
F_rate[26]       0.3224 -0.000164768
F_rate[27]      0.31867 -3.63741e-005
F_rate[28]     0.446885   0.00027578
F_rate[29]     0.337488 -0.000343032
F_rate[30]     0.505723 6.10544e-005
Q_parm[1]     -7.97521 -4.02753e-006
