ParName   Value   Gradient
SR_parm[1]      6.89959 -2.74558e-005
recdev_early(-11)    -0.166823 2.38112e-005
recdev_early(-10)   -0.0559793 2.02155e-005
recdev_early(-9)    -0.105366 1.26384e-005
recdev_early(-8)     0.177711 2.49352e-005
recdev_early(-7)     -0.13894 1.83596e-005
recdev_early(-6)    -0.187053 1.63392e-005
recdev_early(-5)    -0.132328 1.55392e-005
recdev_early(-4)     0.135009  2.2455e-005
recdev_early(-3)   -0.0515439 1.54341e-005
recdev_early(-2)     0.073345 1.29972e-005
recdev_early(-1)   -0.0471606 5.78885e-006
recdev_early(0)     -0.01029 -3.0601e-006
recdev1(1)     0.193639  5.9522e-006
recdev1(2)   -0.0818045 1.40085e-006
recdev1(3)    -0.167772 -3.51533e-006
recdev1(4)     0.294531 -8.50773e-006
recdev1(5)     0.257053 -7.6583e-006
recdev1(6)    -0.110259 2.17149e-006
recdev1(7)    0.0463027 2.07853e-006
recdev1(8)   -0.0328951 2.55296e-006
recdev1(9)     0.116412 1.25576e-005
recdev1(10)     0.138006 1.14526e-005
recdev1(11)     -0.11079 1.02008e-005
recdev1(12)   -0.0216392 9.63219e-006
recdev1(13)     0.124089 4.24386e-006
recdev1(14)   -0.0149272 9.36417e-007
recdev1(15)     0.144948 -2.81619e-006
recdev1(16)     0.113794 -2.95681e-006
recdev1(17)    -0.253849 -2.06076e-006
recdev1(18)    -0.119554 -3.83484e-006
recdev1(19)    -0.366491 -3.82144e-006
recdev1(20)     0.203031 -1.94104e-005
recdev1(21)     0.115626 -2.24968e-005
recdev1(22)    -0.156382 -1.63205e-005
recdev1(23)    -0.199522 -1.28613e-005
recdev1(24)     0.120993 -1.20034e-005
recdev1(25)    -0.208104 1.19449e-006
recdev1(26)   -0.0336775 8.07489e-006
recdev1(27)    0.0370535  1.0213e-005
recdev1(28)     0.109328  1.1173e-005
recdev1(29)    -0.120185 1.17249e-005
recdev1(30)   -0.0169554 1.26582e-005
F_rate[1]   0.00950943 4.31759e-005
F_rate[2]    0.0278916 7.38714e-005
F_rate[3]    0.0459956 5.86171e-005
F_rate[4]    0.0623378 5.40783e-006
F_rate[5]    0.0492767 8.38988e-005
F_rate[6]    0.0908307  6.0243e-005
F_rate[7]    0.0914906 -2.62284e-005
F_rate[8]     0.194067 -1.13589e-005
F_rate[9]     0.114716 -5.81595e-005
F_rate[10]     0.139944 -4.55385e-005
F_rate[11]     0.160774 1.43557e-005
F_rate[12]     0.172236 -5.06427e-005
F_rate[13]     0.123291 2.05744e-005
F_rate[14]     0.180248 -1.74664e-005
F_rate[15]      0.18915 2.06915e-006
F_rate[16]     0.167818  0.000117257
F_rate[17]     0.326821 -4.82415e-006
F_rate[18]     0.271132 3.94388e-005
F_rate[19]     0.265031 -4.19146e-005
F_rate[20]     0.263023 -4.75455e-005
F_rate[21]     0.367027 -7.98827e-005
F_rate[22]     0.268546  0.000152789
F_rate[23]     0.441628 5.48644e-005
F_rate[24]     0.365644 -4.08226e-005
F_rate[25]     0.366956 -1.08917e-005
F_rate[26]      0.33357 -7.74404e-005
F_rate[27]     0.323756 4.36043e-005
F_rate[28]     0.457095 -3.53469e-005
F_rate[29]     0.347136  6.4681e-005
F_rate[30]     0.538469 -2.13743e-005
Q_parm[1]       -7.976 -6.13067e-007
