ParName   Value   Gradient
mean_log_rec      13.7786 1.49399e-005
log_Rzero      13.7897 -4.74064e-007
rec_dev(-10)    -0.114252 -1.91638e-006
rec_dev(-9)    0.0552129 1.60043e-005
rec_dev(-8)       -0.212 -3.54632e-006
rec_dev(-7)    0.0957978 -3.92545e-007
rec_dev(-6)    0.0265586 1.15921e-006
rec_dev(-5)    0.0525786 6.24727e-006
rec_dev(-4)    -0.115696 1.75971e-005
rec_dev(-3)     0.111925 9.62912e-006
rec_dev(-2)    0.0841488 -1.98971e-008
rec_dev(-1)    0.0437977 1.59636e-005
rec_dev(0)     0.090816 1.23993e-005
rec_dev(1)    0.0786744 2.20398e-005
rec_dev(2)     0.269612  2.3647e-005
rec_dev(3)    -0.093532 3.56416e-005
rec_dev(4)    -0.146703 4.48287e-005
rec_dev(5)     0.341232 4.45153e-005
rec_dev(6)     0.289064 4.11571e-005
rec_dev(7)    -0.081373 2.84275e-005
rec_dev(8)     0.106072 3.78462e-005
rec_dev(9)   -0.0515425 3.45343e-005
rec_dev(10)     0.127661 2.45831e-005
rec_dev(11)     0.166508 8.30379e-006
rec_dev(12)    -0.147536 9.32496e-006
rec_dev(13)     -0.13654 2.55668e-005
rec_dev(14) -0.000351119 -1.13277e-005
rec_dev(15)   -0.0363814 -8.29935e-006
rec_dev(16)     0.100586 6.22667e-006
rec_dev(17)    0.0416477 8.43552e-006
rec_dev(18)    -0.274463 -2.15997e-005
rec_dev(19)    -0.241493 -1.16024e-006
rec_dev(20)    -0.400414 -6.68498e-006
rec_dev(21)   -0.0439891 -5.70856e-006
rec_dev(22)   -0.0581686 -1.64384e-005
rec_dev(23)    -0.265644 8.98263e-006
rec_dev(24)    -0.443322 3.47063e-005
rec_dev(25)    -0.085462 -3.09491e-005
rec_dev(26)    -0.482471 -1.35377e-006
rec_dev(27)    -0.379875 -2.31259e-005
rec_dev(28)    -0.148832 -2.1095e-005
rec_dev(29)   -0.0516965 -7.41082e-006
rec_dev(30)    -0.420784 -1.62835e-006
fmort(1,1)   0.00904218 -7.38614e-005
fmort(1,2)    0.0265229 1.19552e-005
fmort(1,3)    0.0435359 8.10746e-006
fmort(1,4)     0.059455 -2.97882e-006
fmort(1,5)    0.0474056 3.68262e-008
fmort(1,6)    0.0863296 4.38715e-007
fmort(1,7)    0.0868965 3.58462e-006
fmort(1,8)     0.183177 -2.63824e-006
fmort(1,9)     0.107167 6.62457e-006
fmort(1,10)     0.133452 9.01815e-006
fmort(1,11)     0.150996 3.58686e-006
fmort(1,12)     0.162661  6.5415e-006
fmort(1,13)     0.116822 1.39637e-005
fmort(1,14)     0.171525 1.28122e-005
fmort(1,15)     0.180278 1.58158e-005
fmort(1,16)     0.163344 1.19921e-005
fmort(1,17)     0.318834 3.91996e-007
fmort(1,18)     0.259929 -1.10551e-005
fmort(1,19)     0.255605 2.22055e-005
fmort(1,20)     0.253028 -7.77473e-006
fmort(1,21)     0.348588 1.40036e-005
fmort(1,22)     0.253234  1.1933e-005
fmort(1,23)     0.420303 -2.25874e-005
fmort(1,24)     0.346864 -7.00284e-006
fmort(1,25)     0.341863 1.18347e-005
fmort(1,26)     0.311125 9.49837e-006
fmort(1,27)     0.304795 6.37154e-006
fmort(1,28)     0.417521 -2.06981e-005
fmort(1,29)     0.312149 4.85876e-005
fmort(1,30)     0.470769 -3.15509e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.9133 1.10111e-007
repl_F     0.133478 -2.37222e-007
