ParName   Value   Gradient
mean_log_rec      13.7931 1.73872e-005
log_Rzero      13.8023 3.95021e-006
rec_dev(-10)   -0.0408394 1.36363e-005
rec_dev(-9)   0.00446257 1.62281e-005
rec_dev(-8)    -0.123805  1.5375e-005
rec_dev(-7)    0.0450351 2.22318e-005
rec_dev(-6)    0.0888895 2.41614e-005
rec_dev(-5)    0.0467447 2.15831e-005
rec_dev(-4)    0.0378393 2.64138e-005
rec_dev(-3)   0.00989473 2.29724e-005
rec_dev(-2)   -0.0083735  2.3393e-005
rec_dev(-1)    0.0352772 2.40677e-005
rec_dev(0)     0.151077 2.39668e-005
rec_dev(1)   -0.0010992 1.38474e-005
rec_dev(2)      0.17816 1.41591e-005
rec_dev(3)    0.0224222 1.30259e-005
rec_dev(4)    -0.222156 5.25011e-006
rec_dev(5)     0.326659 6.41026e-006
rec_dev(6)     0.250377 4.06847e-006
rec_dev(7)   -0.0721345 5.58576e-006
rec_dev(8)    0.0244924 5.31885e-006
rec_dev(9)   -0.0488323 -1.8966e-006
rec_dev(10)     0.140058 5.37814e-006
rec_dev(11)    0.0802397 4.35713e-006
rec_dev(12)    -0.181376 -3.6202e-006
rec_dev(13)    -0.117216 -3.1857e-006
rec_dev(14)     0.035356 -5.38565e-006
rec_dev(15)    -0.108591 -5.50649e-006
rec_dev(16)    0.0955227 -7.40414e-006
rec_dev(17)   -0.0103037 -5.06416e-006
rec_dev(18)    -0.418738 -2.0385e-006
rec_dev(19)    -0.170986 -5.28076e-006
rec_dev(20)    -0.319604 3.83706e-006
rec_dev(21)   -0.0018209 2.73829e-007
rec_dev(22)   -0.0569955 7.84684e-006
rec_dev(23)    -0.368729 1.56964e-005
rec_dev(24)    -0.460419 2.07585e-005
rec_dev(25)    -0.125991  2.2757e-005
rec_dev(26)    -0.471096  2.6645e-005
rec_dev(27)    -0.294392 2.32794e-005
rec_dev(28)    -0.154525 1.39453e-005
rec_dev(29)   -0.0554279 4.43079e-006
rec_dev(30)    -0.556642 6.40279e-006
fmort(1,1)   0.00884629   0.00011447
fmort(1,2)    0.0260952 5.57248e-005
fmort(1,3)    0.0432294 1.86508e-005
fmort(1,4)    0.0588662  2.6256e-005
fmort(1,5)      0.04759 1.29585e-005
fmort(1,6)    0.0854631  4.8775e-006
fmort(1,7)    0.0866968 5.80798e-006
fmort(1,8)     0.182699 1.32242e-006
fmort(1,9)     0.108255 1.94832e-006
fmort(1,10)     0.134049  1.4348e-006
fmort(1,11)     0.150745 -2.99818e-006
fmort(1,12)     0.163955 5.81174e-006
fmort(1,13)     0.117781 5.81664e-006
fmort(1,14)     0.172593 2.24915e-006
fmort(1,15)     0.182929 -8.73086e-007
fmort(1,16)     0.163519 2.05457e-006
fmort(1,17)     0.318321 -2.97736e-007
fmort(1,18)     0.261367 -1.09001e-007
fmort(1,19)     0.261855 -5.29344e-006
fmort(1,20)     0.257891 -1.85173e-006
fmort(1,21)     0.356363 -7.5082e-007
fmort(1,22)     0.258291 -1.75068e-006
fmort(1,23)     0.416124 -1.85492e-006
fmort(1,24)     0.348151 -5.00519e-006
fmort(1,25)     0.348285 -4.91645e-006
fmort(1,26)     0.314161 -5.19664e-006
fmort(1,27)      0.30883 -3.72111e-006
fmort(1,28)     0.423749 -1.71546e-006
fmort(1,29)     0.310859 3.14509e-006
fmort(1,30)     0.469508 2.30319e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8889 2.33823e-007
repl_F     0.116194 1.10106e-006
