ParName   Value   Gradient
mean_log_rec      13.7738 4.54013e-006
log_Rzero      13.8024 -8.31767e-007
rec_dev(-10)   -0.0284969 2.45491e-006
rec_dev(-9)    -0.020359 -5.93665e-006
rec_dev(-8)   -0.0390381 -3.45659e-006
rec_dev(-7)   -0.0606844 -6.77524e-006
rec_dev(-6)   -0.0306143 -9.0116e-006
rec_dev(-5)     0.112827 -9.46022e-007
rec_dev(-4)    0.0734188 -7.00195e-006
rec_dev(-3)     0.085489 -1.04555e-005
rec_dev(-2) -0.000118688 -7.53736e-006
rec_dev(-1)     0.120776 1.85766e-006
rec_dev(0)    0.0270028 -3.58375e-006
rec_dev(1)   -0.0299261 -4.87354e-008
rec_dev(2)     0.273517 6.73557e-006
rec_dev(3)   -0.0660841 6.37694e-006
rec_dev(4)    -0.200707 4.31155e-006
rec_dev(5)     0.303282 1.76585e-005
rec_dev(6)     0.297618  2.0013e-005
rec_dev(7)    0.0657974  1.9363e-005
rec_dev(8)    0.0963455 1.58989e-005
rec_dev(9)   -0.0927976 1.15779e-005
rec_dev(10)    0.0573859 1.53319e-005
rec_dev(11)    0.0101197 1.22889e-005
rec_dev(12)   -0.0983746 7.37248e-006
rec_dev(13)   -0.0532864  5.4535e-006
rec_dev(14)    0.0634321  7.1935e-006
rec_dev(15)   -0.0698753 2.85616e-006
rec_dev(16)     0.104302 2.91071e-006
rec_dev(17)    0.0124958 1.05991e-007
rec_dev(18)    -0.296793 -2.10405e-007
rec_dev(19)    -0.138041  2.4623e-006
rec_dev(20)    -0.329957 -2.74535e-006
rec_dev(21)    0.0795967 7.87976e-006
rec_dev(22)   -0.0816992 6.43864e-007
rec_dev(23)    -0.365514 1.52745e-007
rec_dev(24)    -0.485583 1.14885e-006
rec_dev(25)    -0.143911  1.4025e-006
rec_dev(26)    -0.496346 -1.45594e-006
rec_dev(27)    -0.407994 -2.52763e-006
rec_dev(28)    -0.248369 -2.05486e-006
rec_dev(29)   -0.0442718 -3.51676e-006
rec_dev(30)    -0.342815 -1.94547e-006
fmort(1,1)   0.00894361 -4.62731e-005
fmort(1,2)    0.0263068 -1.74863e-005
fmort(1,3)    0.0438279 -1.04928e-005
fmort(1,4)    0.0599671 -5.84102e-006
fmort(1,5)    0.0480739 -7.50844e-006
fmort(1,6)    0.0869394 -5.26593e-006
fmort(1,7)    0.0886606 -4.07124e-006
fmort(1,8)     0.186473 -1.91933e-006
fmort(1,9)     0.110623 1.17284e-006
fmort(1,10)     0.133939 2.33858e-006
fmort(1,11)     0.153863 2.48035e-006
fmort(1,12)     0.166167 2.94109e-006
fmort(1,13)     0.121361 4.01529e-006
fmort(1,14)     0.175206 3.75593e-006
fmort(1,15)     0.185824 2.49572e-006
fmort(1,16)     0.166478  1.7954e-006
fmort(1,17)       0.3242 1.83307e-006
fmort(1,18)     0.266347 2.39147e-006
fmort(1,19)     0.265023 1.32376e-006
fmort(1,20)     0.257868 1.43194e-008
fmort(1,21)     0.356933 -1.66186e-006
fmort(1,22)     0.255894 -2.55836e-006
fmort(1,23)     0.414836 7.86181e-007
fmort(1,24)     0.344023 4.66786e-007
fmort(1,25)     0.346198 5.29254e-007
fmort(1,26)     0.313998 -1.37964e-007
fmort(1,27)     0.307175 1.15305e-006
fmort(1,28)     0.439418  1.4209e-006
fmort(1,29)     0.335978  1.8432e-006
fmort(1,30)     0.510549 -2.02092e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8538  1.8884e-007
repl_F     0.149372 3.48316e-008
