ParName   Value   Gradient
SR_parm[1]        6.907 -7.04053e-005
recdev_early(-11)    -0.106051 1.94835e-005
recdev_early(-10)   -0.0547285 -3.83188e-005
recdev_early(-9)    -0.202703 -2.06992e-005
recdev_early(-8)    -0.111387 -1.99917e-005
recdev_early(-7)   0.00604339 -2.67492e-005
recdev_early(-6)    0.0530901 -2.74988e-005
recdev_early(-5)      -0.1708 -2.32078e-005
recdev_early(-4)    -0.153179 -1.17633e-005
recdev_early(-3)    -0.030765 -1.54441e-005
recdev_early(-2)    0.0113943 -4.46705e-006
recdev_early(-1)   -0.0343748 -1.68412e-006
recdev_early(0)   -0.0754805 8.21964e-006
recdev1(1)     0.257364 7.32028e-006
recdev1(2)   -0.0612713 8.06776e-006
recdev1(3)    -0.164277 9.39815e-006
recdev1(4)     0.323361 3.96471e-006
recdev1(5)      0.22545 -1.5913e-006
recdev1(6)    0.0428344 -9.20066e-006
recdev1(7)    0.0793997 -1.36391e-005
recdev1(8)    0.0169588 -2.13899e-005
recdev1(9)      0.06352 -2.83914e-005
recdev1(10)    0.0342828 -3.48431e-005
recdev1(11)   -0.0713946 -3.92043e-005
recdev1(12)   -0.0421828 -4.88028e-005
recdev1(13)    0.0865677 -5.81947e-005
recdev1(14)   -0.0128702    -5.6e-005
recdev1(15)     0.142798 -6.32792e-005
recdev1(16)     0.156331 -5.84998e-005
recdev1(17)    -0.351447 -2.68795e-005
recdev1(18)    -0.154087 -2.73378e-005
recdev1(19)    -0.255178 -1.09673e-005
recdev1(20)     0.113909 4.55173e-006
recdev1(21)     0.132228 3.10144e-005
recdev1(22)      -0.1106 3.49883e-005
recdev1(23)    -0.248876 6.06259e-005
recdev1(24)    0.0998676 9.74238e-005
recdev1(25)    -0.259284 6.94466e-005
recdev1(26)   -0.0837136 6.63051e-005
recdev1(27)    0.0254345 5.65092e-005
recdev1(28)    0.0914272   3.024e-005
recdev1(29)   -0.0458209 1.28188e-005
recdev1(30)   -0.0307324 4.92106e-006
F_rate[1]   0.00948226 -0.000462229
F_rate[2]    0.0281906 5.25367e-005
F_rate[3]    0.0462722 -6.88167e-006
F_rate[4]    0.0629989 -0.000112795
F_rate[5]    0.0501998 -9.53764e-006
F_rate[6]    0.0900981 8.18998e-005
F_rate[7]    0.0916139 -8.10748e-009
F_rate[8]       0.1926  0.000106731
F_rate[9]     0.111991 -6.53407e-005
F_rate[10]     0.136911 -8.07085e-005
F_rate[11]     0.154219 8.35025e-005
F_rate[12]     0.166687  4.1406e-005
F_rate[13]     0.121353 -6.21713e-005
F_rate[14]     0.175568  0.000146024
F_rate[15]     0.186632 6.81205e-005
F_rate[16]     0.165465 -0.000103543
F_rate[17]     0.324157 -1.61813e-005
F_rate[18]     0.261317 2.66905e-005
F_rate[19]     0.260194 -7.68203e-005
F_rate[20]      0.25553 -2.79492e-005
F_rate[21]     0.358402 -3.41299e-006
F_rate[22]     0.261389 2.99208e-006
F_rate[23]     0.434228 -6.72547e-005
F_rate[24]     0.355944 -0.000106239
F_rate[25]     0.352894 -3.16866e-005
F_rate[26]     0.323394   0.00028511
F_rate[27]     0.318346 -0.000297348
F_rate[28]     0.438758  0.000144403
F_rate[29]     0.337772 -6.55503e-007
F_rate[30]     0.524902 9.15753e-006
Q_parm[1]     -7.94902 7.98085e-008
