ParName   Value   Gradient
mean_log_rec      13.7376 2.83126e-005
log_Rzero      13.7814  3.6622e-006
rec_dev(-10)     -0.13532 -1.18495e-005
rec_dev(-9)   0.00235544 4.10998e-005
rec_dev(-8)    -0.148058 -7.30598e-006
rec_dev(-7)   0.00708906 7.73449e-005
rec_dev(-6)     0.135876 5.81169e-005
rec_dev(-5)     0.135745 6.94001e-005
rec_dev(-4)    -0.102023  0.000127081
rec_dev(-3)    0.0260802 7.82976e-005
rec_dev(-2)    0.0398101  3.5885e-005
rec_dev(-1)    0.0859857  4.1912e-005
rec_dev(0)   0.00198674  1.1234e-005
rec_dev(1)    0.0741446 2.17578e-005
rec_dev(2)      0.35511 2.80571e-005
rec_dev(3)   -0.0185975 4.04084e-005
rec_dev(4)      -0.1835 -8.70881e-005
rec_dev(5)     0.358358 2.98256e-005
rec_dev(6)     0.284968 2.19153e-006
rec_dev(7)   -0.0627693 -4.51861e-005
rec_dev(8)      0.31127 2.66007e-005
rec_dev(9)   -0.0273033 9.31873e-005
rec_dev(10)     0.156127 6.66503e-005
rec_dev(11)      0.12581 7.72381e-005
rec_dev(12)   -0.0303416 6.77876e-005
rec_dev(13)    -0.033419 1.38092e-005
rec_dev(14)    0.0456524 2.18565e-005
rec_dev(15)   -0.0432137  1.7941e-005
rec_dev(16)    0.0532986 1.90581e-005
rec_dev(17)    0.0445172 5.19096e-005
rec_dev(18)    -0.267568 -3.4228e-006
rec_dev(19)    -0.149771 -4.30829e-005
rec_dev(20)    -0.326455   -0.0001371
rec_dev(21)    0.0174765 -1.89167e-005
rec_dev(22)  -0.00499223 4.30358e-006
rec_dev(23)     -0.31402 -6.56209e-005
rec_dev(24)    -0.394188 -6.3243e-006
rec_dev(25)    -0.094886  1.6363e-006
rec_dev(26)    -0.502375 -2.75136e-005
rec_dev(27)    -0.287169 3.63019e-005
rec_dev(28)    -0.209272 -9.36314e-007
rec_dev(29)    -0.035905 -1.76337e-005
rec_dev(30)    -0.386886 -4.32971e-006
fmort(1,1)   0.00926358  0.000219531
fmort(1,2)    0.0275416   8.479e-005
fmort(1,3)    0.0455104 6.11099e-005
fmort(1,4)    0.0617736 4.46435e-005
fmort(1,5)    0.0492933 6.65876e-005
fmort(1,6)     0.089615 1.46564e-005
fmort(1,7)    0.0902154 6.53952e-006
fmort(1,8)     0.191889 -1.6336e-005
fmort(1,9)     0.113338 1.25494e-008
fmort(1,10)     0.137095 -5.63686e-006
fmort(1,11)     0.155231 -6.47935e-007
fmort(1,12)      0.16598 -3.41474e-006
fmort(1,13)     0.119742   1.117e-005
fmort(1,14)     0.174167 -5.24814e-007
fmort(1,15)     0.184968 -4.44024e-006
fmort(1,16)     0.164439 -3.99847e-008
fmort(1,17)     0.324513 7.81863e-006
fmort(1,18)     0.267666 6.39269e-006
fmort(1,19)     0.265992 1.30483e-005
fmort(1,20)     0.262253 2.37308e-005
fmort(1,21)       0.3662 4.98174e-005
fmort(1,22)     0.265788 2.03355e-005
fmort(1,23)     0.442626 -3.28467e-006
fmort(1,24)     0.371505 -1.1708e-005
fmort(1,25)      0.37138 -4.53733e-005
fmort(1,26)     0.342517 7.65597e-007
fmort(1,27)     0.334755 9.50599e-006
fmort(1,28)     0.472193 4.75165e-005
fmort(1,29)     0.357883 -4.2389e-005
fmort(1,30)      0.55505 -8.38635e-007
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8355 -1.22512e-006
repl_F     0.131116 1.94847e-007
