ParName   Value   Gradient
mean_log_rec      13.7335 2.01284e-005
log_Rzero      13.8062 -7.2299e-007
rec_dev(-10)      -0.0535 -4.4998e-006
rec_dev(-9)   -0.0330112 1.43935e-006
rec_dev(-8)    0.0897804 1.23543e-006
rec_dev(-7)   0.00952344 -5.36385e-006
rec_dev(-6)   -0.0953894 -7.63356e-006
rec_dev(-5)   -0.0140772 -5.94125e-006
rec_dev(-4)   -0.0597027 -4.19024e-006
rec_dev(-3)    0.0753138 4.51413e-006
rec_dev(-2)    0.0477183 4.86977e-007
rec_dev(-1)     0.143663  4.9094e-006
rec_dev(0)   -0.0441799 -1.58174e-006
rec_dev(1)    0.0348742 4.06635e-006
rec_dev(2)     0.330095 2.19198e-005
rec_dev(3)  -0.00120482  9.2067e-006
rec_dev(4)    -0.216343 4.73695e-006
rec_dev(5)     0.385995 3.10635e-005
rec_dev(6)     0.318172 3.16729e-005
rec_dev(7)   0.00133267 1.52229e-005
rec_dev(8)     0.236993 2.28268e-005
rec_dev(9)    0.0544675 1.15767e-005
rec_dev(10)     0.112606 9.66436e-006
rec_dev(11)  -0.00690365 5.30855e-006
rec_dev(12)   -0.0706041 2.94239e-006
rec_dev(13)   -0.0295838 1.62245e-006
rec_dev(14)     0.110997 -2.51485e-007
rec_dev(15)    0.0365987 -4.67743e-007
rec_dev(16)     0.130397 -2.80269e-007
rec_dev(17)     0.101713 1.14195e-008
rec_dev(18)     -0.29793 -1.67907e-006
rec_dev(19)    -0.126367 2.28022e-006
rec_dev(20)    -0.323069 4.98205e-006
rec_dev(21)    0.0114584 1.80639e-005
rec_dev(22)    0.0359762 2.76109e-005
rec_dev(23)    -0.240518 2.45005e-005
rec_dev(24)    -0.417607 2.82375e-005
rec_dev(25)     -0.19073 4.41766e-005
rec_dev(26)    -0.474587 3.41177e-005
rec_dev(27)    -0.292252 4.49881e-005
rec_dev(28)   -0.0765913 5.00795e-005
rec_dev(29)   -0.0274059 2.84053e-005
rec_dev(30)    -0.372634 2.83468e-006
fmort(1,1)   0.00931867 -5.89962e-005
fmort(1,2)    0.0274982 -2.66775e-005
fmort(1,3)    0.0460831 4.92038e-006
fmort(1,4)    0.0629283 -2.4856e-006
fmort(1,5)     0.050004 1.62856e-006
fmort(1,6)    0.0904734 -4.41562e-006
fmort(1,7)     0.091898 -3.40628e-006
fmort(1,8)      0.19499 4.68264e-007
fmort(1,9)     0.113842 4.58927e-006
fmort(1,10)     0.138872 6.23214e-006
fmort(1,11)     0.157691  4.8344e-006
fmort(1,12)     0.169307 5.88517e-006
fmort(1,13)     0.123309 6.61497e-006
fmort(1,14)     0.178844  5.0992e-006
fmort(1,15)     0.189816 3.18797e-006
fmort(1,16)     0.169356 2.29878e-006
fmort(1,17)     0.329712 5.29568e-007
fmort(1,18)     0.269732 1.09208e-006
fmort(1,19)     0.264049 3.97596e-008
fmort(1,20)     0.258269 -9.10354e-007
fmort(1,21)      0.35725 -3.92853e-006
fmort(1,22)     0.263609 -4.73811e-006
fmort(1,23)     0.423479 -6.56571e-006
fmort(1,24)     0.350786 -4.72776e-006
fmort(1,25)     0.350326 -5.34002e-006
fmort(1,26)     0.321037 -6.84308e-006
fmort(1,27)     0.319361 -5.50029e-006
fmort(1,28)     0.448608 -7.20733e-006
fmort(1,29)     0.336709 9.46904e-006
fmort(1,30)     0.512916 2.17296e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8598 9.31691e-007
repl_F     0.134266 -3.3649e-007
