ParName   Value   Gradient
SR_parm[1]      6.90003 -6.86284e-005
recdev_early(-11)   -0.0642662 -4.32971e-005
recdev_early(-10)   -0.0865615 -1.58626e-005
recdev_early(-9)   -0.0218702 1.28925e-006
recdev_early(-8)   -0.0845993 -1.62924e-005
recdev_early(-7)   -0.0216414 -8.27087e-006
recdev_early(-6)   -0.0489344 -1.11269e-005
recdev_early(-5)    -0.117172 -7.39102e-006
recdev_early(-4)   -0.0358946 -1.28874e-005
recdev_early(-3)   -0.0263556 -9.36259e-006
recdev_early(-2)   -0.0918039 -1.07632e-005
recdev_early(-1)   -0.0504588 1.46603e-006
recdev_early(0)    0.0288583 5.83811e-006
recdev1(1)      0.31383 7.03653e-006
recdev1(2)   -0.0382227 1.12951e-005
recdev1(3)    -0.203614 1.27881e-005
recdev1(4)     0.328349 1.07057e-005
recdev1(5)     0.232919 1.26132e-005
recdev1(6)   -0.0680192 1.39451e-005
recdev1(7)     0.101923 1.30717e-005
recdev1(8)     0.014697 9.70007e-006
recdev1(9)    0.0772796 5.53926e-006
recdev1(10)    0.0448294 -4.69928e-007
recdev1(11)   -0.0892336 -4.47122e-006
recdev1(12)   -0.0444457 -5.16495e-006
recdev1(13) -0.000605159 -1.29951e-005
recdev1(14)   -0.0894428 -1.57052e-005
recdev1(15)    0.0995897 -2.42489e-005
recdev1(16)     0.164573 -2.59463e-005
recdev1(17)    -0.253688 -1.34613e-005
recdev1(18)   -0.0624715 -1.38954e-005
recdev1(19)    -0.216588 -5.20624e-006
recdev1(20)     0.153949 -4.50324e-006
recdev1(21)     0.104171 3.82705e-006
recdev1(22)   -0.0809958  7.1704e-006
recdev1(23)    -0.259086 6.70398e-006
recdev1(24)     0.188828 -3.89229e-006
recdev1(25)     -0.35795 -1.60959e-007
recdev1(26)      -0.1218 -2.08114e-006
recdev1(27)   0.00918212  1.2473e-006
recdev1(28)     0.150146 5.06326e-006
recdev1(29)   -0.0775456 5.32791e-006
recdev1(30)   -0.0205591 5.76534e-006
F_rate[1]   0.00941082 -0.000262015
F_rate[2]    0.0279376 7.03858e-005
F_rate[3]    0.0461258 -7.47968e-005
F_rate[4]    0.0621428 1.53333e-005
F_rate[5]    0.0498133 -8.64423e-005
F_rate[6]    0.0893757  0.000107263
F_rate[7]    0.0896474 1.61799e-005
F_rate[8]     0.192117 -3.60698e-005
F_rate[9]     0.112388 -7.52637e-005
F_rate[10]     0.136567 4.98461e-005
F_rate[11]     0.156653 -3.63738e-005
F_rate[12]     0.167109 8.52189e-005
F_rate[13]     0.120584 6.36795e-005
F_rate[14]     0.177126 -8.32061e-005
F_rate[15]     0.188447 4.22792e-005
F_rate[16]     0.168794 8.30531e-006
F_rate[17]     0.333744 -9.83197e-006
F_rate[18]     0.274249 2.70796e-006
F_rate[19]     0.273744 -7.83222e-006
F_rate[20]      0.27122 8.30833e-007
F_rate[21]     0.371625 1.85862e-005
F_rate[22]     0.268543 -4.08876e-005
F_rate[23]     0.440775 -2.86937e-005
F_rate[24]     0.367053  3.6101e-005
F_rate[25]     0.366615 9.40426e-007
F_rate[26]     0.330146 2.14688e-005
F_rate[27]     0.323184 -2.23984e-005
F_rate[28]     0.458723 -6.23006e-006
F_rate[29]     0.353464 -3.74397e-006
F_rate[30]     0.561159  4.0079e-006
Q_parm[1]     -7.94716 -3.67054e-007
