ParName   Value   Gradient
mean_log_rec      13.7415 1.65911e-005
log_Rzero      13.7884 -1.55867e-005
rec_dev(-10)     -0.10946 -7.63409e-005
rec_dev(-9)   0.00560866 -1.54073e-006
rec_dev(-8)   -0.0192193 -4.5097e-005
rec_dev(-7)   -0.0288386 1.91328e-005
rec_dev(-6)    0.0112563 -0.000104397
rec_dev(-5)   -0.0496153 -0.000107544
rec_dev(-4)    0.0369756 -9.50005e-005
rec_dev(-3)     0.027357 -6.66993e-005
rec_dev(-2)    0.0573759 -0.000134986
rec_dev(-1)    0.0941015 -8.10923e-005
rec_dev(0)    0.0148521 -9.67615e-005
rec_dev(1)     0.089823 -7.66148e-005
rec_dev(2)     0.303878 -5.00053e-005
rec_dev(3)    -0.110012 1.45428e-006
rec_dev(4)    -0.117225 3.33309e-005
rec_dev(5)     0.321589 -6.00466e-006
rec_dev(6)     0.290526 8.30824e-005
rec_dev(7)     0.121435  0.000129152
rec_dev(8)     0.180475  0.000106917
rec_dev(9)   -0.0156614  0.000119723
rec_dev(10)     0.083533  0.000183696
rec_dev(11)     0.122204 9.76654e-005
rec_dev(12)     -0.07709   0.00018308
rec_dev(13)   -0.0735333 8.69824e-005
rec_dev(14)    0.0535283   0.00010164
rec_dev(15)   -0.0837483 -4.60604e-006
rec_dev(16)      0.20294 5.19661e-005
rec_dev(17)    0.0383175 6.43512e-005
rec_dev(18)    -0.289895  0.000147087
rec_dev(19)    -0.181121 7.94506e-005
rec_dev(20)    -0.339826  0.000105563
rec_dev(21)     0.119096 6.53909e-005
rec_dev(22)    0.0538349 -1.39223e-006
rec_dev(23)     -0.29159  1.0944e-005
rec_dev(24)    -0.453868 3.96207e-005
rec_dev(25)    -0.171259  0.000112396
rec_dev(26)    -0.417511 -0.000177721
rec_dev(27)    -0.469434 -3.96803e-005
rec_dev(28)    -0.137744 -0.000156656
rec_dev(29)   -0.0330866 -8.89405e-005
rec_dev(30)    -0.346291 1.50431e-005
fmort(1,1)   0.00941665 -0.000228044
fmort(1,2)    0.0272976 -0.000109533
fmort(1,3)    0.0459702 -8.65407e-005
fmort(1,4)    0.0617083 -0.000108376
fmort(1,5)    0.0499788 -0.000172088
fmort(1,6)    0.0891159 -0.000142815
fmort(1,7)    0.0912836 -0.000119287
fmort(1,8)     0.193437 -6.96654e-005
fmort(1,9)     0.112573 -3.56392e-005
fmort(1,10)     0.138071 -5.18675e-006
fmort(1,11)     0.156394 1.43347e-005
fmort(1,12)     0.169208 2.82606e-005
fmort(1,13)     0.121896 5.25623e-005
fmort(1,14)     0.176604 4.80469e-005
fmort(1,15)     0.188714 3.39345e-005
fmort(1,16)     0.168288 2.79452e-005
fmort(1,17)     0.330408 5.68046e-006
fmort(1,18)     0.271718 -2.20935e-006
fmort(1,19)     0.268153 2.68899e-005
fmort(1,20)     0.265555 -2.90948e-005
fmort(1,21)     0.368394 -6.77877e-006
fmort(1,22)     0.265622 -6.74243e-006
fmort(1,23)     0.433173 -1.52806e-005
fmort(1,24)     0.357191 1.85566e-005
fmort(1,25)     0.355375 2.62779e-005
fmort(1,26)     0.326529 4.57536e-005
fmort(1,27)     0.326087  5.0139e-005
fmort(1,28)     0.462502  8.6538e-006
fmort(1,29)     0.357774 2.32134e-005
fmort(1,30)     0.547466 -6.16614e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8485 -1.07812e-007
repl_F     0.142615 1.28846e-006
