ParName   Value   Gradient
SR_parm[1]      6.90585 3.56417e-005
recdev_early(-11)    -0.140882 1.38649e-005
recdev_early(-10)    -0.205265 7.23928e-006
recdev_early(-9)     -0.15258 6.76514e-006
recdev_early(-8)     0.104352 9.91367e-006
recdev_early(-7)    0.0718498 1.21912e-005
recdev_early(-6)    0.0966109 1.32142e-005
recdev_early(-5)    0.0586482 1.37652e-005
recdev_early(-4)    0.0798958 1.32826e-005
recdev_early(-3)   -0.0528057 1.51533e-005
recdev_early(-2)   -0.0109079 1.45528e-005
recdev_early(-1)   -0.0222411 1.39041e-005
recdev_early(0)    0.0491373   1.253e-005
recdev1(1)     0.251831 9.05432e-006
recdev1(2)    0.0384547 3.36251e-006
recdev1(3)     -0.19607 -3.06769e-007
recdev1(4)     0.214525 -7.28861e-007
recdev1(5)     0.215728 -1.54962e-006
recdev1(6)   -0.0698343 -2.38085e-006
recdev1(7)     0.170339 -3.71633e-006
recdev1(8)    -0.026312  -2.793e-006
recdev1(9)    0.0802641 -2.47253e-006
recdev1(10)    0.0398266 -2.36582e-006
recdev1(11)    -0.055255 -3.00816e-006
recdev1(12)    -0.101949 -3.65527e-006
recdev1(13)      0.10975 -4.82358e-006
recdev1(14)   -0.0115202 -4.95864e-006
recdev1(15)     0.194162 -8.00652e-006
recdev1(16)     0.120194 -8.87305e-006
recdev1(17)    -0.390491 -5.27201e-006
recdev1(18)     -0.24034 -7.56436e-006
recdev1(19)    -0.266656 -7.3562e-006
recdev1(20)    0.0645118 -9.99699e-006
recdev1(21)     0.098272 -6.83591e-006
recdev1(22)     -0.11731 -1.5847e-006
recdev1(23)    -0.196165 5.81271e-006
recdev1(24)     0.203556 1.70761e-005
recdev1(25)     -0.17146 1.47608e-005
recdev1(26)   -0.0103569 1.77121e-005
recdev1(27)    0.0261651 1.38707e-005
recdev1(28)   -0.0117775 6.84005e-006
recdev1(29)     0.039759 7.02801e-007
recdev1(30)  -0.00184119 -1.03265e-006
F_rate[1]   0.00911425 -9.59748e-005
F_rate[2]    0.0266293 2.55908e-005
F_rate[3]    0.0442073 1.47193e-005
F_rate[4]     0.059604  0.000120632
F_rate[5]      0.04734 2.13089e-005
F_rate[6]    0.0859994 -1.47188e-005
F_rate[7]    0.0868781 -4.78731e-005
F_rate[8]     0.184842 1.76359e-005
F_rate[9]     0.107484  7.6693e-005
F_rate[10]     0.131975 -3.8964e-005
F_rate[11]     0.150185 -9.11274e-005
F_rate[12]     0.162371 8.04384e-005
F_rate[13]     0.118514 -9.88257e-006
F_rate[14]     0.170453 -2.16624e-005
F_rate[15]     0.181093  3.8652e-005
F_rate[16]     0.162638 -1.50402e-005
F_rate[17]     0.309754 1.37409e-005
F_rate[18]     0.251867 -2.34605e-006
F_rate[19]     0.248806 -1.41602e-005
F_rate[20]     0.247695 -5.88213e-006
F_rate[21]     0.351133 1.74826e-005
F_rate[22]     0.256441 -1.37661e-005
F_rate[23]     0.431931 3.65072e-006
F_rate[24]     0.360099 -9.90103e-006
F_rate[25]      0.35463 -1.35995e-005
F_rate[26]     0.320224 -1.27844e-005
F_rate[27]      0.30554 -5.45909e-006
F_rate[28]     0.418611 -1.57545e-006
F_rate[29]     0.312185 1.66573e-005
F_rate[30]     0.487707 6.30982e-006
Q_parm[1]     -7.97405 3.20009e-007
