ParName   Value   Gradient
mean_log_rec      13.7416 2.95499e-005
log_Rzero      13.7979 -5.92666e-006
rec_dev(-10)   -0.0752934 -2.74354e-005
rec_dev(-9)   -0.0205358  -2.318e-005
rec_dev(-8)    -0.062292 -2.99007e-005
rec_dev(-7)   -0.0233216 -3.73032e-005
rec_dev(-6)   -0.0107862 -4.15748e-005
rec_dev(-5)   -0.0124394 -4.65868e-005
rec_dev(-4)     0.102732 -5.30318e-005
rec_dev(-3)    0.0567734 -5.40261e-005
rec_dev(-2)   -0.0871942 -4.69873e-005
rec_dev(-1)    0.0846808 -4.82323e-005
rec_dev(0)    0.0895993 -3.75364e-005
rec_dev(1)    0.0821539 -2.44095e-005
rec_dev(2)     0.238704 -1.70999e-006
rec_dev(3)   -0.0494408 -2.19737e-005
rec_dev(4)    -0.160664 -1.29877e-005
rec_dev(5)     0.387334 1.21184e-005
rec_dev(6)     0.307773   1.243e-005
rec_dev(7)    0.0296334 1.21531e-005
rec_dev(8)     0.169349 3.01101e-006
rec_dev(9)    0.0663357 -9.38392e-006
rec_dev(10)    0.0703804 2.12788e-006
rec_dev(11)    0.0683007 -8.44535e-006
rec_dev(12)    -0.108702 -1.04625e-006
rec_dev(13)    0.0281425 -7.77082e-006
rec_dev(14)     0.040006 -1.46812e-005
rec_dev(15)   -0.0666863 -1.4927e-005
rec_dev(16)     0.159822 -7.87371e-006
rec_dev(17)    0.0849909 1.47562e-005
rec_dev(18)    -0.426063 -8.94421e-006
rec_dev(19)    -0.123813 3.06538e-005
rec_dev(20)    -0.351829 3.58773e-005
rec_dev(21)     0.115176 7.45609e-005
rec_dev(22)   -0.0439641 9.29094e-005
rec_dev(23)     -0.23789  0.000113616
rec_dev(24)    -0.285945  0.000154558
rec_dev(25)    -0.201771  0.000198229
rec_dev(26)    -0.406364  0.000146597
rec_dev(27)    -0.270445  0.000150162
rec_dev(28)    -0.199233  0.000114655
rec_dev(29)   -0.0620229 7.37816e-005
rec_dev(30)    -0.404223 9.05038e-006
fmort(1,1)   0.00934605 -0.000266503
fmort(1,2)    0.0275955 -0.000142904
fmort(1,3)    0.0463375 -4.12698e-005
fmort(1,4)    0.0622191 -1.71432e-005
fmort(1,5)    0.0496165 -1.93777e-005
fmort(1,6)    0.0899542 -1.47906e-005
fmort(1,7)     0.090678 -1.9615e-005
fmort(1,8)      0.19184 -1.1326e-005
fmort(1,9)     0.111649 1.35829e-006
fmort(1,10)     0.138055 2.49049e-006
fmort(1,11)       0.1555 -5.38546e-008
fmort(1,12)     0.168097 6.39308e-006
fmort(1,13)     0.120683 1.90925e-006
fmort(1,14)     0.176075 8.45318e-006
fmort(1,15)     0.184977 1.34509e-005
fmort(1,16)     0.169489 7.06197e-006
fmort(1,17)     0.325328 3.71479e-006
fmort(1,18)     0.265926 -1.07948e-005
fmort(1,19)     0.264725 -1.74323e-005
fmort(1,20)     0.263107 -8.35887e-006
fmort(1,21)     0.364738 -9.71779e-006
fmort(1,22)     0.265166 -5.67794e-006
fmort(1,23)     0.435709 -1.38855e-005
fmort(1,24)     0.360001 -1.91807e-005
fmort(1,25)      0.35078 -2.54749e-005
fmort(1,26)     0.321246 -2.08059e-005
fmort(1,27)     0.308957 -9.63463e-006
fmort(1,28)     0.431326 -4.41376e-006
fmort(1,29)      0.32763 3.22225e-005
fmort(1,30)     0.502614 6.68636e-005
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]       -14.87 4.09411e-007
repl_F     0.116032 -2.07832e-006
