ParName   Value   Gradient
mean_log_rec      13.7649 -3.52045e-006
log_Rzero      13.7975 -6.68038e-008
rec_dev(-10)   -0.0531207 -1.91319e-006
rec_dev(-9)   -0.0161305 -2.57667e-006
rec_dev(-8)   -0.0659601 -7.1254e-007
rec_dev(-7)     0.051664 1.04258e-006
rec_dev(-6)   -0.0128703 -1.32419e-006
rec_dev(-5)   0.00754915 -1.21845e-006
rec_dev(-4)     0.125778 -9.24536e-007
rec_dev(-3)      0.08605 -1.41731e-006
rec_dev(-2)    0.0366474 -1.67876e-006
rec_dev(-1)    0.0331364 -1.58257e-006
rec_dev(0)   0.00100577 -1.82191e-006
rec_dev(1)  0.000916199 -1.34878e-006
rec_dev(2)       0.1671 -5.7989e-007
rec_dev(3)   -0.0250204 -1.04379e-006
rec_dev(4)     -0.21403 5.55127e-007
rec_dev(5)     0.390453 -3.16746e-006
rec_dev(6)     0.226845 -1.33065e-006
rec_dev(7)    0.0679202 -7.70841e-008
rec_dev(8)     0.178448 -5.65588e-007
rec_dev(9)   -0.0252804 -3.82319e-007
rec_dev(10)     0.165995 -1.03125e-006
rec_dev(11)    0.0957422 -9.6719e-007
rec_dev(12)   -0.0683198 -2.51932e-007
rec_dev(13)    -0.111901 2.15114e-007
rec_dev(14)   0.00834694 -1.12717e-006
rec_dev(15)    0.0110839 -1.56585e-006
rec_dev(16)     0.047265 -2.33999e-006
rec_dev(17)    0.0446522 -4.58607e-006
rec_dev(18)    -0.335773 -1.75052e-006
rec_dev(19)    -0.225364 -3.38767e-006
rec_dev(20)    -0.396071 -2.58969e-006
rec_dev(21)    -0.020405 -4.41106e-006
rec_dev(22)   -0.0601556 -3.53118e-006
rec_dev(23)    -0.263364 -2.72283e-006
rec_dev(24)    -0.355815 -2.71638e-006
rec_dev(25)    -0.170592 -5.92955e-006
rec_dev(26)    -0.536541 -4.32963e-006
rec_dev(27)    -0.338295 -6.86629e-006
rec_dev(28)    -0.202781 -6.77949e-006
rec_dev(29)   -0.0341713 -5.25384e-006
rec_dev(30)    -0.454207 -5.86308e-007
fmort(1,1)   0.00906197 -2.96873e-006
fmort(1,2)    0.0265167 -2.2189e-008
fmort(1,3)    0.0444576 -7.90983e-007
fmort(1,4)    0.0608717 -5.0721e-007
fmort(1,5)    0.0484813 -5.62353e-006
fmort(1,6)    0.0877298 -5.78796e-007
fmort(1,7)    0.0903497 1.80809e-006
fmort(1,8)     0.191439 -9.04049e-007
fmort(1,9)     0.110964 -7.22635e-007
fmort(1,10)     0.135763 9.40965e-008
fmort(1,11)     0.154248 -1.92012e-006
fmort(1,12)     0.164975 1.67351e-006
fmort(1,13)      0.11979 1.30846e-006
fmort(1,14)     0.171706 -1.69591e-007
fmort(1,15)     0.181464 -9.20523e-007
fmort(1,16)     0.163865 3.43836e-008
fmort(1,17)     0.316555   1.026e-006
fmort(1,18)     0.259491  1.2825e-006
fmort(1,19)     0.257453  6.1992e-007
fmort(1,20)     0.258255 -2.39172e-007
fmort(1,21)     0.356936 2.21292e-007
fmort(1,22)     0.263682 -7.60044e-007
fmort(1,23)     0.434392 4.01707e-007
fmort(1,24)     0.363769 6.05463e-007
fmort(1,25)     0.364891 9.19617e-007
fmort(1,26)      0.33256 6.39692e-007
fmort(1,27)     0.326416 8.68618e-007
fmort(1,28)     0.466747 1.42002e-006
fmort(1,29)     0.356442 3.56693e-008
fmort(1,30)     0.543089 -3.66633e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8714 -4.57011e-008
repl_F     0.130247 7.40886e-008
