ParName   Value   Gradient
mean_log_rec      13.7276 6.83898e-005
log_Rzero      13.7969  1.2373e-005
rec_dev(-10)   -0.0980774 3.44502e-005
rec_dev(-9)    -0.112241 5.54672e-005
rec_dev(-8)   -0.0654461 6.81912e-005
rec_dev(-7)   -0.0202643 8.40364e-005
rec_dev(-6)  -0.00537359 9.58157e-005
rec_dev(-5)    0.0744549  0.000110818
rec_dev(-4)   -0.0561307  0.000107495
rec_dev(-3)    0.0662946  0.000129298
rec_dev(-2)    0.0814354  0.000133285
rec_dev(-1)   -0.0126188  0.000113338
rec_dev(0)     0.131816  0.000126271
rec_dev(1)     0.105359  9.8353e-005
rec_dev(2)     0.243394 9.13566e-005
rec_dev(3)   -0.0641633 4.23445e-005
rec_dev(4)   -0.0720446 3.74817e-005
rec_dev(5)     0.353842 5.60953e-005
rec_dev(6)     0.413693 6.92411e-005
rec_dev(7)   -0.0199032 1.85966e-005
rec_dev(8)     0.243485 1.86506e-005
rec_dev(9)    0.0364024 9.87361e-006
rec_dev(10)     0.122908  1.0935e-005
rec_dev(11)    0.0520849 -3.32143e-007
rec_dev(12)    -0.106323 -6.55017e-007
rec_dev(13)   -0.0247962 -4.56239e-006
rec_dev(14)    0.0805729 -8.21681e-006
rec_dev(15)    -0.152178 4.45671e-007
rec_dev(16)     0.135496 -2.24545e-006
rec_dev(17)     0.077589 -6.1269e-007
rec_dev(18)    -0.232143 4.97076e-006
rec_dev(19)    -0.119754 2.04872e-006
rec_dev(20)    -0.212181 1.40354e-005
rec_dev(21) -0.000285357 2.04362e-005
rec_dev(22)   -0.0160193  1.9382e-005
rec_dev(23)    -0.232464 8.36788e-006
rec_dev(24)    -0.334315  1.2047e-005
rec_dev(25)    -0.132236 1.16914e-005
rec_dev(26)       -0.482 8.53786e-007
rec_dev(27)    -0.236865 2.58971e-006
rec_dev(28)     -0.14027 6.62536e-006
rec_dev(29)    -0.124106  7.3579e-006
rec_dev(30)    -0.277883 4.66242e-006
fmort(1,1)   0.00953963  0.000410667
fmort(1,2)    0.0276237  0.000183014
fmort(1,3)    0.0462898  0.000141149
fmort(1,4)    0.0629155 9.98973e-005
fmort(1,5)    0.0498272 8.64782e-005
fmort(1,6)    0.0905158 3.70877e-005
fmort(1,7)    0.0911571 2.61891e-005
fmort(1,8)     0.192254 1.74114e-005
fmort(1,9)     0.113251 1.92355e-005
fmort(1,10)     0.137643  1.3448e-005
fmort(1,11)     0.154801 1.56125e-005
fmort(1,12)     0.167799    5.76e-006
fmort(1,13)     0.120633 4.78112e-006
fmort(1,14)     0.175536 1.61479e-006
fmort(1,15)     0.189197 -9.16841e-007
fmort(1,16)     0.170746 -2.21754e-006
fmort(1,17)      0.33661 -3.20949e-006
fmort(1,18)     0.276778 -1.74548e-006
fmort(1,19)     0.277442 -1.71782e-006
fmort(1,20)     0.271544 -9.25788e-008
fmort(1,21)     0.376725 -7.19117e-006
fmort(1,22)      0.27011 -1.84178e-006
fmort(1,23)     0.446713 -1.59403e-006
fmort(1,24)     0.372139  5.9594e-006
fmort(1,25)     0.369576 3.24113e-006
fmort(1,26)     0.337328 -4.98052e-007
fmort(1,27)     0.328333 2.05674e-006
fmort(1,28)     0.458893 -6.90623e-008
fmort(1,29)     0.347292 -1.7711e-006
fmort(1,30)     0.536718 5.86427e-006
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8502 -2.42589e-007
repl_F     0.127718 1.50827e-006
